Sample	Batch	Target	Cycle	File_ID	Experiment_ID
cycle_1_batches_YWE_B_aggregate	YWE_B	Aggregate	1	cycle_1_batches_YWE_B_aggregate	YWE_B_aggregate
cycle_1_batches_YWI_B_aggregate	YWI_B	Aggregate	1	cycle_1_batches_YWI_B_aggregate	YWI_B_aggregate
cycle_1_batches_YWK_B_aggregate	YWK_B	Aggregate	1	cycle_1_batches_YWK_B_aggregate	YWK_B_aggregate
cycle_1_batches_YWK_D_aggregate	YWK_D	Aggregate	1	cycle_1_batches_YWK_D_aggregate	YWK_D_aggregate
cycle_1_batches_YWL_B_aggregate	YWL_B	Aggregate	1	cycle_1_batches_YWL_B_aggregate	YWL_B_aggregate
cycle_1_batches_YWN_B_aggregate	YWN_B	Aggregate	1	cycle_1_batches_YWN_B_aggregate	YWN_B_aggregate
cycle_1_batches_YWO_B_aggregate	YWO_B	Aggregate	1	cycle_1_batches_YWO_B_aggregate	YWO_B_aggregate
cycle_2_batches_YWE_B_aggregate	YWE_B	Aggregate	2	cycle_2_batches_YWE_B_aggregate	YWE_B_aggregate
cycle_2_batches_YWI_B_aggregate	YWI_B	Aggregate	2	cycle_2_batches_YWI_B_aggregate	YWI_B_aggregate
cycle_2_batches_YWK_B_aggregate	YWK_B	Aggregate	2	cycle_2_batches_YWK_B_aggregate	YWK_B_aggregate
cycle_2_batches_YWK_D_aggregate	YWK_D	Aggregate	2	cycle_2_batches_YWK_D_aggregate	YWK_D_aggregate
cycle_2_batches_YWL_B_aggregate	YWL_B	Aggregate	2	cycle_2_batches_YWL_B_aggregate	YWL_B_aggregate
cycle_2_batches_YWN_B_aggregate	YWN_B	Aggregate	2	cycle_2_batches_YWN_B_aggregate	YWN_B_aggregate
cycle_2_batches_YWO_B_aggregate	YWO_B	Aggregate	2	cycle_2_batches_YWO_B_aggregate	YWO_B_aggregate
cycle_3_batches_YWE_B_aggregate	YWE_B	Aggregate	3	cycle_3_batches_YWE_B_aggregate	YWE_B_aggregate
cycle_3_batches_YWI_B_aggregate	YWI_B	Aggregate	3	cycle_3_batches_YWI_B_aggregate	YWI_B_aggregate
cycle_3_batches_YWK_B_aggregate	YWK_B	Aggregate	3	cycle_3_batches_YWK_B_aggregate	YWK_B_aggregate
cycle_3_batches_YWK_D_aggregate	YWK_D	Aggregate	3	cycle_3_batches_YWK_D_aggregate	YWK_D_aggregate
cycle_3_batches_YWL_B_aggregate	YWL_B	Aggregate	3	cycle_3_batches_YWL_B_aggregate	YWL_B_aggregate
cycle_3_batches_YWN_B_aggregate	YWN_B	Aggregate	3	cycle_3_batches_YWN_B_aggregate	YWN_B_aggregate
cycle_3_batches_YWO_B_aggregate	YWO_B	Aggregate	3	cycle_3_batches_YWO_B_aggregate	YWO_B_aggregate
cycle_4_batches_YWE_B_aggregate	YWE_B	Aggregate	4	cycle_4_batches_YWE_B_aggregate	YWE_B_aggregate
cycle_4_batches_YWI_B_aggregate	YWI_B	Aggregate	4	cycle_4_batches_YWI_B_aggregate	YWI_B_aggregate
cycle_4_batches_YWK_B_aggregate	YWK_B	Aggregate	4	cycle_4_batches_YWK_B_aggregate	YWK_B_aggregate
cycle_4_batches_YWK_D_aggregate	YWK_D	Aggregate	4	cycle_4_batches_YWK_D_aggregate	YWK_D_aggregate
cycle_4_batches_YWL_B_aggregate	YWL_B	Aggregate	4	cycle_4_batches_YWL_B_aggregate	YWL_B_aggregate
cycle_4_batches_YWN_B_aggregate	YWN_B	Aggregate	4	cycle_4_batches_YWN_B_aggregate	YWN_B_aggregate
cycle_4_batches_YWO_B_aggregate	YWO_B	Aggregate	4	cycle_4_batches_YWO_B_aggregate	YWO_B_aggregate
YWE_B_AffSeq_H12_CTCF_cycle1	YWE_B	CTCF	1	CTCF_AffSeq_IVT_BatchYWEB_H12_Cycle1_R1	YWE_B_AffSeq_H12_CTCF
YWE_B_AffSeq_H12_CTCF_cycle2	YWE_B	CTCF	2	CTCF_AffSeq_IVT_BatchYWEB_H12_Cycle2_R1	YWE_B_AffSeq_H12_CTCF
YWE_B_AffSeq_H12_CTCF_cycle3	YWE_B	CTCF	3	CTCF_AffSeq_IVT_BatchYWEB_H12_Cycle3_R1	YWE_B_AffSeq_H12_CTCF
YWE_B_AffSeq_H12_CTCF_cycle4	YWE_B	CTCF	4	CTCF_AffSeq_IVT_BatchYWEB_H12_Cycle4_R1	YWE_B_AffSeq_H12_CTCF
YWI_B_HT-SELEX_H12_CTCF_cycle1	YWI_B	CTCF	1	CTCF_AffSeq_IVT_BatchYWIB_H12_Cycle1_R1	YWI_B_HT-SELEX_H12_CTCF
YWI_B_HT-SELEX_H12_CTCF_cycle2	YWI_B	CTCF	2	CTCF_AffSeq_IVT_BatchYWIB_H12_Cycle2_R1	YWI_B_HT-SELEX_H12_CTCF
YWI_B_HT-SELEX_H12_CTCF_cycle3	YWI_B	CTCF	3	CTCF_AffSeq_IVT_BatchYWIB_H12_Cycle3_R1	YWI_B_HT-SELEX_H12_CTCF
YWI_B_HT-SELEX_H12_CTCF_cycle4	YWI_B	CTCF	4	CTCF_AffSeq_IVT_BatchYWIB_H12_Cycle4_R1	YWI_B_HT-SELEX_H12_CTCF
YWK_B_AffSeq_G9_CTCF_cycle1	YWK_B	CTCF	1	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle1_Read1	YWK_B_AffSeq_G9_CTCF
YWK_B_AffSeq_G9_CTCF_cycle2	YWK_B	CTCF	2	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle2_Read1	YWK_B_AffSeq_G9_CTCF
YWK_B_AffSeq_G9_CTCF_cycle3	YWK_B	CTCF	3	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle3_Read1	YWK_B_AffSeq_G9_CTCF
YWK_B_AffSeq_G9_CTCF_cycle4	YWK_B	CTCF	4	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle4_Read1	YWK_B_AffSeq_G9_CTCF
YWK_D_AffSeq_G9_CTCF_cycle1	YWK_D	CTCF	1	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKD_LongWash_Well_G9_Cycle1_Read1	YWK_D_AffSeq_G9_CTCF
